夏春秋,吴耀冬(本名)
河正宇,河正佑(汉字名) / 河政宇 / 夏正宇 / 金惺勳(本名) / 金聖勳(本名)
内森·科德里,内特·考德里
塞西莉·斯特朗,瑟丝丽·思聪
凯特·麦克金农,凯特·麦今郎
吴樾,吴越
周笔畅,笔笔 (昵称) / 周小笔 (昵称)
梅丽莎·麦卡西,梅丽莎·迈卡锡
骆应钧,二叔 / 骆sir / 应棍
杨祐宁,杨佑宁
马伊琍,马伊俐 / 马司令(昵称)
郭富城,阿城(昵称) / 城仔(昵称) / 城城(昵称) / 阿王(昵称)
黛安·克鲁格,戴安·克鲁格 / 戴安·古格(港)
白宇,宇哥
谭松韵,谭晶晶
井柏然,井宝 / 然然
申银贞,申恩晶
林允,费霞(本名) / 飞侠(昵称)
李思臻,李浩章
崔珉豪,珉豪
尹汝贞,尹茹贞 / 尹如静 / 尹如贞 / 尹汝晶
尹鸿承,创 / 尹鸿承
金泰梨,金泰璃
金敏喜,金玟喜 / 金敏姬
莎拉·沃特丝,莎拉·沃特斯
梁益俊,梁益準
尹世雅,金宝英（原名）
全度妍,全道燕 / 全道莲 / 金达莱(昵称)
李胤基,李允基(误) / 李润基(误)
崔维斯·费米尔,特拉维斯·费美尔
邓肯·琼斯,佐维尔·鲍伊 / 乔伊·鲍伊
黄锡晶,黄石正
千禹熙,千雨熙 / 千宇熙 / 千玗嬉(汉字名)
王思聪,大狸子弟子
罗泓轸,罗宏镇
蒂莫西·斯波,提摩菲史樸(港)
麦克·辛,麦克·什恩 / 迈克尔·西恩 / 迈克尔·什恩 / 迈克尔·辛
马修·刘易斯,马修·莱维斯
珍娜·科尔曼,珍娜-路易丝·科尔曼
多米尼克·威斯特,多明尼克威斯特
柯柯·帕尔莫,柯克·帕尔莫
艾伦·德杰尼勒斯,艾伦·德詹尼丝
洁茜J ,杰西J / 洁西J / 婕茜J
西蒙·佩吉,西蒙·柏奇(港) / 赛门·佩吉(台)
珍妮·麦克蒂尔,珍妮特·迈克蒂尔
理查德·阿米蒂奇,理查德·阿米塔格 / 理查德·阿莫蒂奇 / 理察·阿米塔格(港/台) / 李建军(昵称) / 大舅(昵称)
安德鲁·斯科特,安德魯·史考特
杰拉丁妮·詹姆斯,杰拉丁尼·詹姆斯
斯蒂芬·弗雷,史蒂芬·弗莱
米娅·华希科沃斯卡,米娅·华西科沃斯卡 / 米娅·沃斯科斯卡 / 米雅·瓦斯科斯卡
路易斯·卡罗尔,刘易斯·卡洛尔 / 查尔斯·勒特威奇·道奇森
詹姆斯·博宾,詹姆斯·波宾
高修,高洙(本名)
金材昱,金材旭 / 金在旭 / 金在玉
朴珠美,朴周美
安内相,安内尚 / 安乃尚 / 安乃相
金所炫,金素贤
安藤玉惠,谷野玉恵
清水寻也,清水尋也
雪拉·渥德,瑟拉·沃德
真剑佑,前田真剑佑(本名)
杰克·莱诺,杰克·雷纳
艾丹·吉伦,指头叔(昵称)
丽兹·卡潘,丽兹·卡普兰
周杰伦,周董(昵称)
彼得·基亚雷利,Jay
艾德·索罗门,艾德·所罗门
罗恩·袁,罗纳德·温斯顿·袁 / 袁文忠 / 袁隆
道比·欧帕瑞,迪奥比亚·奥派雷
布伦特·斯皮内,布伦特·斯派尔
罗兰·艾默里奇,罗兰德·艾默里克
尼古拉斯·莱特,尼古拉斯·怀特
盖尔·加西亚·贝纳尔,盖尔·加西亚·伯纳尔
谢尔盖·科姆珀,谢尔盖·凯姆博
姜皓文,姜浩文 / 姜汉文
凤小岳,鳳小岳
叶青,小美 / 叶小美 / 青儿 / 牙签黄瓜 / 沐子(艺名) / 叶芝泛
冯绍峰,冯威(本名)
涂圣成,涂圣成Jack（新浪微博）
鹿晗,小鹿(昵称)、傻狍子(昵称)、鹿鹿(昵称)、鹿哈尼(昵称)、鹿宝(昵称)、鹿Boss(昵称)
杜俊,大师兄（昵称）
李仁港,小港
凯瑟琳·斯皮茨,凯秀琳娜·斯皮茨
南派三叔,徐磊(本名)
阿格尼·格鲁迪特,阿格涅·格鲁蒂特
丹尼拉·科兹洛夫斯基,丹尼尔·科兹洛夫斯基
延政勋,延正勋(误译) / 连正勋(误译) / 廉政勋(误译)
苏菲·特纳,索菲·特纳
休·杰克曼,晓治·积曼(港)
露皮塔·尼永奥,露皮塔·尼昂奥
乔恩·费儒,强·费儒
剧团一人,川島省吾(本名)
水谷优子,水谷優子
拉娜·康多,陈彤兰（本名）
埃文·彼得斯,伊万·彼得斯
尼古拉斯·霍尔特,尼古拉斯·侯特(港) / 尼克拉斯·霍特(台) / 尼克拉斯·霍尔特
詹妮弗·劳伦斯,珍妮佛·劳伦斯 / 珍妮弗·劳伦斯 / 大表姐(昵称)
郭品超,九头身“花美男”.
徐珠贤,徐朱玄(汉字名) / 徐玄 / 徐贤
金恩静,金恩庭
西蒙·金伯格,赛门·金伯格
贝拉·希思科特,伊莎贝拉·希思科特
阿比·丽,艾比·丽·科肖
吉姆·拉什,吉姆-拉什
丹尼尔·布鲁赫,丹尼尔 布吕尔 / 仓鼠(昵称)
汤姆·霍兰德,汤姆·赫兰德
艾米丽·万凯普,艾米丽·艾琳·万凯普
伊丽莎白·奥尔森,奥妹
杰瑞米·雷纳,吉瑞米·伦奈 / 谢诺美·维纳(港)
唐·钱德尔,唐奇多 / 唐奇铎 / 唐·奇杜
杰克·科比,杰克·科尔比
塞巴斯蒂安·斯坦,384（昵称）
乔·罗素,乔·卢素
安东尼·罗素,安东尼·卢素
高山南,高山美奈美 / 新井泉(本名)
里兹·阿迈德,里兹·阿曼德
艾丽西亚·维坎德,坎妹(昵称)
保罗·格林格拉斯,绿草地(昵称)
马特·达蒙,马特·戴蒙 / 麦特戴蒙 / 麥迪文
陈燃,陈瑞
刘亦菲,安风(曾用名) / 刘茜美子(曾用名)
辛夷坞,蒋春玲(本名)
伊万·瑞恩,小剥皮
刘楚恬,恬恬
罗仲谦,谦仔 (昵称)
焦俊艳,炮哥(昵称)
玉城蒂娜,玉城TINA
李准,李昌宣(本名) / 李昶瑄(音译) / 李灿成(字译)
乔瑟琳·穆尔豪斯,乔斯林·穆尔豪斯
延俊锡,严俊锡
都暻秀,都敬秀 / 度庆洙
肖恩·宾,便当之王 / 豆叔
亚伦·保尔,小粉
凯伦·吉兰,岳母大人(昵称)
文峰,拜隆·曼
太保,张嘉年
梁小冰,Noel Leung
卢卡斯·哈斯,卢卡斯·汉斯
多姆纳尔·格里森,多姆纳尔·格利森 / 多姆奈尔·格里森
汤姆·哈迪,汤老湿(昵称) / 甜心(昵称)
亚利桑德罗·冈萨雷斯·伊纳里多,伊纳里图 / 伊纳瑞特 / 亚历杭德罗·冈萨雷斯·伊尼亚里图 / 艾力·谢路·伊拿力图
阿兰·里奇森,阿兰·里奇森
托尼·夏尔赫布,托尼·谢尔博
斯蒂芬·阿梅尔,斯蒂芬·阿美尔
梅根·福克斯,梅甘·福克斯
杨诗敏,蝦頭
李逸朗,李威乐(本名) / 李家俊(曾用名)
白只,凌智豪
春夏,李俊杰(本名)
斯图尔特·贝亚蒂耶,斯图尔特·比蒂
大卫·叶茨,大卫·耶茨
池田依来沙,池田依来沙
刘志宏,宇文
施祖男,施祖南
张子枫,子子(昵称)
马浴柯,马柯
陈祉希,陈曦
肖央,筷子肖(昵称) / 肖桑(昵称)
刘昊然,刘源（本名）
麦迪娜,麦迪娜·买买提
廖凡,凡仔(别名)
徐浩峰,徐皓峰(笔名) / nanhe
陈思诚,陈思成 / 橙子(昵称)
菁玮,太后（昵称）
祖峰,祖锋
颜卓灵,顏卓靈
焦华静,焦红艳
神谷浩史,HiroC(昵称) / 卡米亚(昵称) / 猫神(昵称)
野岛健儿,野島健児
马特·波莫,马修·博曼 / 马特·波莫 / 孔雀(昵称)
周元,朱元 / 文晙原
赵真奎,赵真奎(误)
阿莫里·诺拉斯科,阿马瑞·诺拉斯克
斯科特·麦克纳里,斯科特·麦克纳里 / 斯科特·麦克奈利
扎克·施奈德,扎克·斯奈德 / 查克史奈德· / 柴克·史奈德
钟采羲,钟永慧
安婕·特拉乌,安洁·塔如
盖尔·加朵,盖尔·加多特
迈克尔·皮特,迈克尔·彼特
凯文·科斯特纳,奇云·高士拿 / 凯文·科斯纳 / 凯文·米高·科斯特纳(本名)
曹操,乔纳森·考斯瑞德
陈坤,坤少(昵称) / 坤儿(昵称) / 坤哥(昵称) / 厂花(昵称)
天下霸唱,张牧野(本名)
金弘波,金弘坡 金弘波
金大明,金达明
李圣旻,李胜民 / 李成民 / 李晟敏
申素率 ,申素毓 / 申素聿
美浓轮泰史,美浓轮
劳拉·伊内斯,劳拉·尹妮斯
凯尔·吉克瑞斯特,凯尔·吉尔克瑞斯特 / 凯尔·吉尔奎斯特
丽贝卡·弗格森,丽贝卡·路易莎·弗格森
金应洙,金英书(误) / 金应秀(误)
姜栋元,姜东元
李艾,李伊
李璟荣,李京英 / 李庆荣
凯特瑞纳·巴尔夫,凯翠欧娜·鲍弗
杰克·奥康奈尔,积奥干奴(港译)
朱迪·福斯特,茱迪科士打 / 茱迪·福斯特
库梅尔·南贾尼,库表哥(昵称)/苦荬(昵称)
彼特·丁克拉奇,彼特·丁拉基 / 彼得·汀克莱杰 / 彼得·丁克拉格
王紫璇,夏天
阿曼达·阿宾顿,阿曼达·艾宾顿
露·布瑞丽,路易斯·布瑞丽
史蒂文·莫法特,魔法特 (昵称)
马克·加蒂斯,给给 / 麦哥
道格拉斯·麦金农,道格拉斯·马金农 / 德格拉斯麥健倫
白百何,白雪(本名)
布莱克·谢尔顿,村夫（昵称）
贝丝·比厄,贝丝·贝尔斯；贝丝·比尔斯
娜塔莎·雷昂,娜塔莎·里奥尼 / 娜塔莎·雷奥恩
詹姆斯·洪,吴汉章
安吉丽娜·朱莉,安吉莉娜·朱丽 / 安祖莲娜祖莉
吕寅荣,詹妮弗·吕·尼尔森 / 余仁英(误)
昆汀·塔伦蒂诺,昆汀塔伦天奴 / 昆汀塔伦提诺
库尔特·拉塞尔,寇特·罗素
玛利亚·波兹哈娃,玛丽娅·波耶扎耶娃
马特维·雷科夫,马特维·利科夫 / 马特威·莱科夫
阿列克谢·阿尔谢尼耶夫,亚历克斯·阿尔谢尼耶夫
因达尔·詹杜巴耶夫,英达尔·珍杜巴耶夫
唐菀,唐婉
大原惠美,大原惠
关智一,小关
桥本环奈,橋本環奈
藤子·F·不二雄,藤本弘(本名)
优希美青,菅野莉奈
山田凉介,山酱(昵称)
热依扎,扎扎
塔伦·埃格顿,塔伦·埃哲顿
周冬雨,冬叔（昵称）
李准基,李俊基
阿德丽安娜·尤加特,艾卓安娜·乌加特
萝西·德·帕尔马,罗西·德帕尔马
杨骏,杨俊平
何文辉,酱爆
拉蒂沃杰·布克维奇,罗沙‧布克维
迪丽热巴,迪丽热巴·迪力木拉提
刘敏涛,刘闵涛
张小厚,张亮
徐仁国,磁淇
郑秀妍,杰西卡
唐艺昕,唐婷(原名)
陈伟霆,威廉 / 等等
邹佡,邹雪
李易峰,喋喋
陈数,陈澍
娜奥米·哈里斯,内奥米·哈里斯 / 娜奥梅·哈里斯 / 尼奥梅·哈里斯
阿兰,阿兰·达瓦卓玛
丁一宇,郑日宇 / 郑日佑
扎克·埃夫隆,碩克·艾佛朗(港)
金英民,金永敏
晨阳,陈阳(本名)
拉塞尔·托维,小狼
吴智慧,吳智慧
赵亮,小赵亮
郑仁基,郑仁起
伊莎贝拉·罗西里尼,伊莎贝拉·罗塞里尼
维吉妮娅·马德森,薇吉妮亚麦德森 / 维吉尼亚·马德森
王鸥,王俊美(昵称)
大卫·O·拉塞尔,大卫·欧·拉塞尔 / 大卫·欧拉塞尔 / 戴维O·拉塞尔 / 大卫·罗素
修睿,修哥 / 修大侠(外号)
李瀚伟,李汉威 / 李翰伟 / 李韩威
车智妍,车池妍
张荣男,张瑛男 / 张英南
韩孝周,韩孝珠
田昀树,全闰秀(误) / 全润秀(误) / 田允秀(误)
柳演锡,刘彦锡(误) / 刘彦石(误) / 刘延锡(误)
朴兴植,朴兴识
米歇尔·洪,米歇尔·昂
诺曼·瑞杜斯,诺曼·里德斯
切瓦特·埃加福特,契威特尔·艾吉弗
罗晋,咕噜
黄龄,豆豆(昵称)
叶童,李思思
弗兰克·迪兰,弗兰克·蒂尔内
本·卫肖,本·威士肖 / 本·韦肖
范湉湉,范恬恬
吴映洁,鬼鬼
乔什·哈切森,乔什·赖安·哈切森
道恩·强森,巨石强森 / 德威恩·道格拉斯·约翰逊 / 唐尼·约翰逊 / 岩石 / 巨石 / 狄维庄逊(港)
科林·乔斯特,扣扣周
莱斯利·曼恩,莱斯利·曼
达科塔·约翰逊,达妹、达达
郭晓东,郭广习(本名)
江一燕,爬爬(昵称) / 江燕(原名)
T·J·米勒,托德·约瑟夫·米勒
艾德·斯克林,爱德华·斯克林 / 艾德·斯柯兰
莫蕾娜·巴卡林,莫瑞娜·巴卡琳
保罗·韦尼克,保罗·沃尼克
蒂姆·米勒,提姆·米勒
李小璐,璐璐宝贝
基南·卡尔金,基兰·卡尔金 / 基南·库尔金
泽维尔·塞缪尔,沙维尔·塞缪尔
惠特·斯蒂尔曼,韦达史杜文
王菁华,王箐华
舒耀瑄,舒耀瑄 / 舒耀煊
侯天悦,天悦
许正廷,许正庭
姜志刚,大刚（昵称）
张逗逗,逗逗
王紫逸,王子义 / 子义
彼德·梅犹,彼特·梅靥 / 彼德·梅休
匹普·安德森,皮普·安德森
安迪·瑟金斯,安迪·塞基斯 / 安迪·瑟克斯
J·J·艾布拉姆斯,J·J·艾伯拉姆斯 / J·J·艾布斯
犹大·刘易斯,朱达·刘易斯 / 路易斯
麦克斯·泰瑞奥,马克斯·泰瑞奥 / 马克斯·塞奥特 / 麦斯·塞瑞特 / 马克思·席瑞特 / 马克斯·希尔莱耶
埃里克松·科尔,埃里克森·科尔
布莱克·詹纳,布莱克·亚历山大·詹纳
彼得·孙,彼得·索恩
苏利耶·西瓦库马,苏利耶·西瓦库玛
瑞安·古兹曼,瑞安·安东尼·古兹曼(本名)
马特·史密斯,马婶
拉妲·米契尔,莱阿·米歇尔 / 莱达·米歇尔 / 拉达·米契尔
巴勃罗·施瑞博尔,帕布罗·施雷柏
迈克尔·贝,米高比尔 / 麦可贝
艾伦·艾克哈特,阿伦·艾克哈特 / 亚伦·艾克哈特
王啸坤,王十三
蓝盈莹,蓝盈盈
迈克·泰森,泰森 / 拳王泰森
桥部敦子,橋部敦子
温宙完,宋正植(本名) / 温朱莞(误) / 温洙莞(误) / 温周莞(误) / 温周菀(误) / 温朱万(误)
曹政奭,曹郑锡 / 曹正锡 / 赵正锡
郑镇荣,郑进永(汉字名) / 郑晋永(误)
李阵郁,李镇旭 / 李振旭 / 李真旭
林秀晶,Im Soo-jeong
吴明才,元庭(艺名)
约翰·奥提兹,约翰·欧蒂斯
克里斯·派恩,克里斯托弗·怀特洛·派恩(本名) / 克里斯·潘恩(台)
斯科特·西尔弗,斯考特·西尔弗
克雷格·吉勒斯佩,克雷格·格里斯佩
塞缪尔·巴奈特,皇太后；苗太后；太后
杰米·帕克,皇帝
郑宇,金成国(原名) / 金政国(本名) / 金情国(本名)
陶杰,曹捷(本名)
谭玉瑛,谭玉瑛姐姐
韩彩英,金志英(原名)
桥本润,桥本淳
约翰尼·韦斯顿,强尼·威斯坦
安塞尔·艾尔高特,安索·艾尔高特
比尔·斯卡斯加德,四妹
佐伊·克罗维兹,佐伊·克拉维茨
谢琳·伍德蕾,莎尔莱勒·伍德蕾 / 莎蓮活德麗(港)
小林凉子,小林涼子(本名)
布伦顿·思韦茨,布兰顿·思怀兹
尼古拉·科斯特-瓦尔道,尼可拉·科斯特-瓦尔道
科林·摩根,科总 萌神
艾米莉·布朗特,艾美莉·宾特 / 艾蜜莉·布朗
亚历克斯·普罗亚斯,亚力克斯·普洛亚
林大雄,任太雄(误)
谢爕隽,高晋
李恩宇,李宇恩
玄升玟,玄胜敏 / 玄盛敏
金圣武,金成伍
郑锡元,郑锡远
金相浩,金尚河(误) / 金尚浩(误)
凯特·波茨沃斯,凯特·波斯沃斯
西尾维新,西尾維新
落落,赵佳蓉
苍井空,桥本由宇(别名)
麦芷谊,麥芷誼
新房昭之,帆村壮二 / 南泽十八 / 椎谷太志
郭奕芯,郭議芯 / 郭议芯
德光由禾,德光由香
三森铃子,森森森(昵称)
元永庆太郎,筑丰太郎
樱井孝宏,樱13(昵称) / 13(昵称) / 考哥
于小慧,于小彗
金圣柱,大柱子(昵称)
加布里埃尔·罗萨多,盖伯瑞尔·罗萨多
迈克尔·刚本,迈克尔·甘本 / 迈克尔·甘伯恩 / 米高·甘邦(港)
阿尔登·埃伦瑞奇,阿尔登·艾伦瑞奇
理查德·麦登,理查德·曼登
马克·史密斯,马克·“犀牛”·史密斯
迈克尔·B·乔丹,迈克尔·巴卡里·乔丹
西尔维斯特·史泰龙,席尔维斯史泰龙
张太维,张太佑 / 张太侑
吴浩康,吴伟男(本名)
郭采洁,郭彦君(本名)
朱莉安·浩夫,朱丽安·休 / 朱莉安·休
卡勒姆·特纳,卡伦·特纳/卡鲁姆·特纳
鲁珀特·伊文斯,路柏·伊文斯
史黛西·马妮尔,斯泰西·米尼尔
凯瑞·华格伦,凯瑞·沃尔格伦
阿利斯泰·皮垂,埃利斯戴尔·皮特里
田羽生,田师傅(笔名)
高岛政宏,高嶋政宏
大塚芳忠,大冢芳忠
宫野真守,宮野真守
韦恩·佩雷,维恩·派瑞
乔尔·埃哲顿,祖尔艾哲顿（港译）
丹尼斯·奎德,丹尼斯奎尔（台/港）
伊丽莎白·莫斯,伊莉莎贝·莫斯
亚历克·鲍德温,亚历山大·雷·鲍德温三世
吴青芸,吴青云
朴云龙,朴元勇 / 朴云永
李截,贾森·斯科特·李
岑勇康,小哈里·沙姆 / 岑永康
申贤俊,申铉睿 / 申铉浚 / 申铉濬
徐玄振,徐贤真
郭时旸,郭时阳
金惠秀,金慧秀
小松菜奈,小松菜(昵称) / nana (昵称)
安在洪,安宰弘
上田耕一,上田耕一
石井岳龙,石井聪互
天海无贝,陈恭捷(本名)
皇贞季,王祯
山新,王爽 / 山新德南 / 山攻攻 / 女王大人
池谷伸枝,池谷のぶえ
高田里穗,高田里穂
健太郎,伊藤健太郎(本名)
布丽特·罗伯森,布丽特妮•罗伯森 / 布瑞特妮·罗伯森
夏一可,杨画(本名)
BBC,英国广播公司
Zeta,安妮(本名)
CBI,陈博(本名)
YOYO,朴姗(本名)
奶茶超人,葛张君(本名)
周彬,核桃(网名)
萨姆·里德,施巴斯坦·列特
奥利弗·杰森-科恩,奥利弗·杰克逊-科恩
王珞丹,王洛丹
闻情解佩,王佩
艾赫尼奥·德伯兹,欧亨尼奥·德伯兹
艾德里安·布洛迪,阿德里安·布劳迪 / 亚德里安·布罗迪 / 阿德里恩·布洛迪 / 艾哲倫保迪(港)
伊冯娜·斯特拉霍夫斯基,伊冯娜·斯特泽丘斯基 / 冯妮-斯特泽柯维斯基
侯颖桁,侯颖衍
吉米·法伦,吉米·法隆
陈妍希,陈玫璇(本名)
林依晨,依晨 / 依依 / 小妞 / 林小妞  / 晨小妞 / 一百零一层
林珍娜,林珍儿
周渝民,仔仔(昵称)
公方敏,公方明
杉田薰,杉田かおる / 橋本薫 / Kaoru Sugita (I)
苏珊大妈,苏珊·波伊尔
瓦伦蒂诺·加拉瓦尼,华伦天奴·加拿云尼(粤语)
安娜·温图尔,安娜·温特
爱莉安娜·格兰德,Cat、Ari、小牛
凯蒂·派瑞,凯蒂·佩里 / 水果姐姐(昵称)
米拉·乔沃维奇,蜜拉·乔娃薇琪
贾斯汀·塞洛克斯,加斯丁·特奥克斯 / 贾斯汀·瑟鲁
克雷格·罗伯兹,基克·羅拔斯(港)
红粉佳人,粉红佳人
亚瑟·雷蒙德,亚瑟小子
艾玛·斯通,艾玛·史东 / 爱玛·史东 / 石头(昵称)
伊莫琴·普茨,伊莫珍波兹（台）
马丁·辛,马丁·希恩
亚当·莱文,骚当(昵称) / 亚当·李维
乔玛·塔科内,乔玛·塔昆
朴正民,朴政珉 / 朴政民
朴素丹,朴洙垣 / 朴素淡
李相仑,李尚允
姜艺媛,姜艺苑
阿尤什·坦东,阿什·坦登 / 阿尤斯·坦登
迪皮卡·帕度柯妮,迪皮卡·帕杜科内 / 迪皮卡·帕度空 / 荻皮卡·帕都恭(港/台)
佩丽冉卡·曹帕拉,普里扬卡·彻普拉 / 朴雅卡·乔普拉 / 普里扬卡·乔普拉
维纳斯·舒尔特海斯,维纳斯·欧美佳·舒尔特海斯(本名)
弗朗西斯卡·卡帕尔迪,弗朗西斯卡·安格鲁齐·卡帕尔迪(本名)
金允石,金允锡 / 金尹锡 / 金润锡
千田爱纱,爱纱
张赫,郑勇俊(本名)
李濬益,李浚谥
霍建华,华哥 / 睫毛帝 / 白豆腐 / 霍霍 / 霍小呆
麦咏麟,麥詠麟
托尼·雷沃罗利,托尼·雷沃洛利
加文·欧康诺,迦文·欧康诺
莫里兹·布雷多,莫里兹·布雷朵 / 莫里兹·布雷布特鲁
金依萌,依萌
金珉锡,秀珉 / 金珉硕
延宇振,金俸会(本名) / 徐志厚(曾用艺名)
俞承豪,俞承浩 / 刘胜浩 / 俞胜豪 / 柳承浩
赵宰贤,赵在铉 / 曹在显
赫子铭,赫兰鹏
夏梓桐,陶蕊
李东学,李源
艾德·哈里斯,艾迪·夏里斯
埃文·蕾切尔·伍德,伊万·雷彻尔·伍德 / 伊云妮素活特(港)
谷嘉诚,毛毛，老谷
书亚信,张栩醇
屈菁菁,屈菁箐
菲伊·马赛,菲伊·马赛
埃里克斯·劳瑟,亚历克斯·劳瑟
凯莉·麦克唐纳,姬莉·麥當奴(港)
布莱丝·达拉斯·霍华德,比丝多丽丝候活
伍嘉成,小伍 / 5+× / 小队长
彭楚粤,欢欢（昵称）
米兰达·奥图,米兰达·奥托
雅姆·朗德里·埃贝尔,詹姆斯·赫伯特
珊农·沃德华德,香农·伍德沃德
迈克尔·克莱顿,迈克尔·克里彻顿
蒂娜·菲,伊丽莎白·斯塔玛蒂娜·菲(本名) / 天娜·菲(港) / 蒂娜·费(台)
蔡珩,蔡盛
凯特蕾·萨加尔,凯蒂·塞格
长江英和,長江英和
岩田刚典,刚酱 / 刚宝
梅丽莎·麦克布莱德,梅丽莎·苏姗妮·麦克布莱德
丹娜·奎里拉,达娜·贾克赛·古瑞拉 / 达娜·古瑞拉
贾斯汀·哈特雷,贾斯汀·哈特利
中谷真由美,中谷真弓
细田义彦,细田善彦 / 细田良彦
大谷亮平,大谷庆彦
王禹铮,王军
蒋冰,蒋冰冰
张棪琰,张琰琰(曾用名) / 张锦尧(曾用名)
赵圆瑗,赵园(本名) / 赵圆圆
王凯,大王(昵称) / 凯凯王(昵称)
朴宝剑,宝咕米 / 苞谷米 / 大宝剑
高庚杓,高京表
金太勋,金泰勋
李秀卿,李修庆
李世英,李世蓉
严稚棱,考拉
蒋劲夫,夫仔(绰号)
凯莉·库柯,凯莉·库柯-斯威汀 / 卡蕾·措科
蔡轩正,庆庆
吉姆·帕森斯,谢耳朵(昵称) / 詹姆斯·约瑟夫·吉姆·帕森斯(本名)
田宸羽,田欣辰 / 小亮仔
沙俊伯,安吉
崔雅涵,阿拉蕾
崔武成,崔明洙
李日花,李日花
李有静,李有贞 / 李祐汀
高雅星,高鹤星 / 高我星
友近,友近由纪子
扎卡,韩飞行
金正贤,金政炫
徐智慧,徐智惠
孔晓振,孔孝珍 / 孔孝真 / 孔布利(昵称)
尹正,谭峻鹏 / 毛毛
李小冉,思麒(曾用艺名)
梦秦,陈梦秦
李庚,李健 / 李建
赵顺然,小宝，宝哥
任嘉伦,任国超
米热,米热夏提·亚里坤
于正,余征(本名)
夏恩·杰克逊,夏延·杰克逊
Lady Gaga,斯蒂芬妮·乔安妮·安吉莉娜·杰尔马诺塔 / 雷迪·嘎嘎 / 嘎嘎小姐 / 女神卡卡 / 雷帝嘎嘎
李泰焕,李泰焕
奥利维娅·科尔曼,奥莉薇娅·柯尔曼
李钟硕,李钟锡
宋载正,宋在贞
韦斯·本特利,维斯·巴特利
莎拉·保罗森,沙拉·鲍尔森 / 香蕉姐(昵称)
杨卓娜,杨卓玲
黄智雯,黄智文
李佳芯,李嘉馨
曹永廉,廉记 (昵称)
方中信,符力(本名)
易烊千玺,千总 / 小千千
杨旻娜,杨明娜
崔松贤,崔颂贤
马薇,马澜菲
季晨,季裕哲
林子君,林总 / 林萌萌 / 林猴子
泉品子,泉平子
杨丞琳,Chenglin Yang
徐誉庭,徐美娟(本名)
范世琦,范世錡
郑业成,大成
饶俊,俊俊
五百,郭书博(本名)
张熙珍,张惠真
崔汝珍,崔茹真 / 崔汝真
凯莱布·麦克劳克林,迦立·麦勒林
姜震昊,姜大龙
郑国霖,郑瑞晓(原名) / 郑乙霖(曾用名) / 锅子(昵称)
茅子俊,茅志军（原名）
王俊凯,小凯
杨紫,杨旎奥
张戬,萧鼎(笔名)
金甲洙,金甲秀
马诺洛·卡多纳,马诺洛·卡尔多纳
郑涵妃,郑京敏
佩德罗·帕斯卡,荷西·佩德罗·巴尔马塞达·帕斯卡 / 亲王(昵称)
加藤贵子,加藤 貴子
李帝勋,李济勋
金恩熙,金恩希
何杜娟,杜娟
瑛子,敬虔(原名)
筱井英介,篠井英介
真飞圣,真飛圣
朴诗恩,朴时银
禹喜珍,俞姬珍 / 禹熙真
边伯贤,"卞伯贤,白贤"
南柱赫,南洙赫
洪宗玄,洪钟贤 / 洪钟炫 / 洪中贤
李知恩,李智恩
桐华,张小三（笔名）
金奎泰,金圭泰
宋允儿,宋玧妸
林允儿,林允娥 / 林润娥 / 允儿
凯莎·卡斯特-休伊斯,凯莎·卡斯特尔-休斯 / 凯莎·卡索-休斯 / 凯萨·卡斯特-休伊斯
米契尔·哈思曼,迈克尔·霍思曼/迈克尔·彗思曼
杰玛·韦兰,杰玛·惠兰
陈怡馨,嘟嘟
侯佩岑,岑岑
山田詠美,山田詠美
因迪拉·瓦玛,因德里拉·瓦尔马 / 英迪娅·瓦玛
卡里斯·范·侯登,卡莉丝·凡·荷登 / 卡莉丝·范·荷登 / 卡里斯·范·豪滕
亚历山大·希迪格,亚历山大·希德迪格
杰西卡·亨维克,杰西卡·玉·李·亨维克
皮鲁·埃斯贝克,乔汗·菲利普·阿斯巴克
乔治·马丁,乔治·R·R·马丁
D·B·威斯,丹尼尔·威斯
戴维·贝尼奥夫,大卫·班尼欧夫
约翰尼·李·米勒,强尼·李·米勒 / 约翰·李·米勒
斯维塔兰娜·伊万诺娃,斯蒂芬·瓦诺雅
尹均相,尹均尚
文晸赫,文政赫 / 文正赫
曹熙奉,赵熙奉
郑真英,郑振永
千虎珍,千浩振 / 千河俊
高鑫,高泓贤
金裕贞,金俞贞 / 金有贞
陈丽娜,陈莉娜
宁文彤,达达
刘奕君,刘岷
周奇奇,夏仪 / 奇奇
陈龙,陈洁
胡歌,胡柯
罗英石,罗䁐锡
叶山浩树,叶山裕记
小甜甜,张倞耘(曾用名) 张芳奕(曾用名) 张可昀(本名)
纳豆,林郁智
野野澄花,上田澄佳
查理·韦伯,查理·阿兰·韦伯·祖尼亚(本名)
阿尔弗雷德·伊诺奇,艾尔菲·伊诺奇
道格拉斯·麦克格兰斯,道格拉斯·麦格拉思
伊莲·梅,伊莱恩·梅伊
申久,申淳基(原名)
石明辉,石铭晖
潘霜霜,潘丹霜
何佳怡,何嘉仪
孙嘉,孙黛涵
蒋欣,欣欣（昵称）
俞灏明,国民弟弟
袁成杰,小袁
肖旭,肖萌萌 肖少 旭旭 少爷
张大大,张韡
李菲儿,李菲(又名)
张歆艺,歆歆(昵称) / 二姐(昵称) / 歆兔(昵称) / 歆宝(昵称)
李宗翰,李力
